menu_id,menu_name,menu_label,parent_id,url,menu_type,state,seq
294962874827145649,life-countdown,生命倒计时,,life-countdown,MENU,ENABLED,0
230918229474674260,job_mgr,工作规划,,,DIRECTORY,ENABLED,10
26219916348620800,knowledge_mgr,知识管理,,,DIRECTORY,ENABLED,20
192168089637360097,exam_system,考试与练习,,,DIRECTORY,ENABLED,30
baidu_pan,baidu_pan,百度网盘,,baidu-pan,MENU,ENABLED,31
231081781829304476,ai_app,AI应用,,,DIRECTORY,ENABLED,40
76320933194760192,tools,实用工具,,,DIRECTORY,ENABLED,50
230918229474674353,statistics,统计报表,,,DIRECTORY,ENABLED,60
231016189088760729,sys_test,系统测试,,,DIRECTORY,ENABLED,70
192168089637359328,sys_monitor,系统监控,,,DIRECTORY,ENABLED,80
192168089637359577,sys_priv,系统权限,,,DIRECTORY,ENABLED,90
192168089637359389,sys_config,系统配置,,,DIRECTORY,ENABLED,100
136067432975434904,systemmessage,系统消息,192168089637359328,systemmessage,MENU,ENABLED,1
183524124356772084,syslog,系统日志,192168089637359328,syslog,MENU,ENABLED,1
204073687442262076,token-usage,Token统计,192168089637359328,token-usage,MENU,ENABLED,1
241356649271395924,git-desktop,Git管理,192168089637359328,git-desktop,MENU,ENABLED,1
76398070807396352,job_mgr,作业监控,192168089637359328,job,MENU,ENABLED,3
134691737770655774,systemparam,系统参数,192168089637359389,systemparam,MENU,ENABLED,1
204073687442261831,tag,标签管理,192168089637359389,tag,MENU,ENABLED,1
183524124356771948,group,分组管理,192168089637359389,group,MENU,ENABLED,2
97505309626466326,wxapp,微信小程序,192168089637359389,wxapp,MENU,ENABLED,4
74848154549223424,queue_mgr,队列管理,192168089637359389,jobqueue,MENU,ENABLED,5
78189209608781860,cron_task_mgr,定时任务,192168089637359389,cron,MENU,ENABLED,7
74869474766880770,script_mgr,脚本管理,192168089637359389,script,MENU,ENABLED,10
user_mgr,user_mgr,用户管理,192168089637359577,user,MENU,ENABLED,1
role_mgr,role_mgr,角色管理,192168089637359577,role,MENU,ENABLED,2
menu_mgr,menu_mgr,菜单管理,192168089637359577,menu,MENU,ENABLED,3
26266405074632728,question_mgr,题库管理,192168089637360097,question,MENU,ENABLED,1
26266405074632743,exam_mgr,试题管理,192168089637360097,exam,MENU,ENABLED,2
42365316889575424,history,历史答卷,192168089637360097,history,MENU,ENABLED,3
118741569263112860,schedule,日程管理,230918229474674260,schedule,MENU,ENABLED,1
242998048332972498,homework,家庭作业,230918229474674260,homework,MENU,ENABLED,1
32015218800328704,todo,待办管理,230918229474674260,todo,MENU,ENABLED,2
271759640428027720,question-bank,题库统计,230918229474674353,question-bank,MENU,ENABLED,1
271759640428027732,vocabulary-proficiency,单词统计,230918229474674353,vocabulary-proficiency,MENU,ENABLED,2
273737129270444155,knowledge-mastery,知识统计,230918229474674353,knowledge-mastery,MENU,ENABLED,3
133133918772658432,notification,消息测试,231016189088760729,notification,MENU,ENABLED,1
200511080789709743,jwt-generator,Jwt生成器,231016189088760729,jwt-generator,MENU,ENABLED,1
201550926731804808,api-tester,API测试,231016189088760729,api-tester,MENU,ENABLED,1
115181144453940054,ocr,文字提取,231081781829304476,ocr,MENU,ENABLED,1
176068731145814769,chat,AI聊天,231081781829304476,chat,MENU,ENABLED,1
215028070250185143,requirement,需求管理,231081781829304476,requirement,MENU,ENABLED,1
221032245551432906,agent,智能体管理,231081781829304476,agent,MENU,ENABLED,1
249494272267520435,code-review,代码评审,231081781829304476,code-review,MENU,ENABLED,1
192168089637359745,mcp_server,MCP管理,231081781829304476,mcp-server,MENU,ENABLED,3
177378541552273669,knowledge-set,知识集管理,231081781829304476,knowledge-set,MENU,ENABLED,8
40875083496948222,llmmodel,模型管理,231081781829304476,llmmodel,MENU,ENABLED,9
55546519981391872,prompts,提示词管理,231081781829304476,prompt,MENU,ENABLED,9
273737129270444755,hot-search,热搜,231081781829304476,hot-search,MENU,ENABLED,11
227758868711604253,vocabulary,单词本,26219916348620800,vocabulary,MENU,ENABLED,1
235407982127480885,poetry,诗词本,26219916348620800,poetry,MENU,ENABLED,1
251393455266203758,character,生字本,26219916348620800,character,MENU,ENABLED,1
50050233152831502,mindmap,思维导图,26219916348620800,mindmap,MENU,ENABLED,1
144982908908601370,mermaid-mgr,流程图,26219916348620800,mermaid-mgr,MENU,ENABLED,2
26266405074632715,knowledge_point_mgr,知识点管理,26219916348620800,knowledge,MENU,ENABLED,5
116674882539880455,mdresolve,MD解析,76320933194760192,mdresolve,MENU,ENABLED,1
179018961361305638,file-manager,文件管理,76320933194760192,file-manager,MENU,ENABLED,1
187981596035383344,password,密钥管理,76320933194760192,password,MENU,ENABLED,1
192168089637359149,orchestration,编排管理,76320933194760192,orchestration,MENU,ENABLED,1
204073687442261970,data-query,数据查询,76320933194760192,data-query,MENU,ENABLED,1
251744800770885062,diary,上帝视角,76320933194760192,diary,MENU,ENABLED,1
286379760643211503,price-monitor,价格监控,76320933194760192,price-monitor,MENU,ENABLED,1
95606916901765188,filedetector,文件识别,76320933194760192,filedetector,MENU,ENABLED,11
75127602301370369,datasource_mgr,数据源管理,76320933194760192,datasource,MENU,ENABLED,1111
